gene_id	tissue	expression
ENSG00000142615.7	Pancreas	4277
ENSG00000142615.7	Pancreas	2579
ENSG00000142615.7	Pancreas	6780
ENSG00000142615.7	Pancreas	4144
ENSG00000142615.7	Pancreas	5499
ENSG00000142615.7	Pancreas	3873
ENSG00000142615.7	Pancreas	3099
ENSG00000142615.7	Pancreas	6810
ENSG00000142615.7	Pancreas	9222
ENSG00000142615.7	Pancreas	4206
ENSG00000142615.7	Pancreas	2999
ENSG00000142615.7	Pancreas	5233
ENSG00000142615.7	Pancreas	9058
ENSG00000142615.7	Pancreas	6672
ENSG00000142615.7	Pancreas	1026
ENSG00000142615.7	Pancreas	184.7
ENSG00000142615.7	Pancreas	1730
ENSG00000142615.7	Pancreas	399.3
ENSG00000142615.7	Pancreas	6521
ENSG00000142615.7	Pancreas	3053
ENSG00000142615.7	Pancreas	3402
ENSG00000142615.7	Pancreas	3902
ENSG00000142615.7	Pancreas	87.7
ENSG00000142615.7	Pancreas	1.011e+04
ENSG00000142615.7	Pancreas	9418
ENSG00000142615.7	Pancreas	6117
ENSG00000142615.7	Pancreas	284.6
ENSG00000142615.7	Pancreas	2671
ENSG00000142615.7	Pancreas	7700
ENSG00000142615.7	Pancreas	5576
ENSG00000142615.7	Pancreas	8871
ENSG00000142615.7	Pancreas	3200
ENSG00000142615.7	Pancreas	8277
ENSG00000142615.7	Pancreas	7068
ENSG00000142615.7	Pancreas	4415
ENSG00000142615.7	Pancreas	3639
ENSG00000142615.7	Pancreas	5516
ENSG00000142615.7	Pancreas	1739
ENSG00000142615.7	Pancreas	5118
ENSG00000142615.7	Pancreas	1.301e+04
ENSG00000142615.7	Pancreas	4962
ENSG00000142615.7	Pancreas	1.059e+04
ENSG00000142615.7	Pancreas	2353
ENSG00000142615.7	Pancreas	5161
ENSG00000142615.7	Pancreas	3314
ENSG00000142615.7	Pancreas	2599
ENSG00000142615.7	Pancreas	1119
ENSG00000142615.7	Pancreas	8328
ENSG00000142615.7	Pancreas	3881
ENSG00000142615.7	Pancreas	293.7
ENSG00000142615.7	Pancreas	2708
ENSG00000142615.7	Pancreas	1.072e+04
ENSG00000142615.7	Pancreas	5486
ENSG00000142615.7	Pancreas	1.241e+04
ENSG00000142615.7	Pancreas	6311
ENSG00000142615.7	Pancreas	6162
ENSG00000142615.7	Pancreas	1.407e+04
ENSG00000142615.7	Pancreas	5944
ENSG00000142615.7	Pancreas	9770
ENSG00000142615.7	Pancreas	1350
ENSG00000142615.7	Pancreas	4147
ENSG00000142615.7	Pancreas	7677
ENSG00000142615.7	Pancreas	1.445e+04
ENSG00000142615.7	Pancreas	1.186e+04
ENSG00000142615.7	Pancreas	2698
ENSG00000142615.7	Pancreas	5852
ENSG00000142615.7	Pancreas	4910
ENSG00000142615.7	Pancreas	3126
ENSG00000142615.7	Pancreas	1881
ENSG00000142615.7	Pancreas	1.016e+04
ENSG00000142615.7	Pancreas	9064
ENSG00000142615.7	Pancreas	9550
ENSG00000142615.7	Pancreas	5733
ENSG00000142615.7	Pancreas	632.3
ENSG00000142615.7	Pancreas	6902
ENSG00000142615.7	Pancreas	7989
ENSG00000142615.7	Pancreas	4565
ENSG00000142615.7	Pancreas	5356
ENSG00000142615.7	Pancreas	2465
ENSG00000142615.7	Pancreas	1656
ENSG00000142615.7	Pancreas	1.4e+04
ENSG00000142615.7	Pancreas	6557
ENSG00000142615.7	Pancreas	1797
ENSG00000219073.7	Pancreas	1.056e+04
ENSG00000219073.7	Pancreas	1.438e+04
ENSG00000219073.7	Pancreas	1.194e+04
ENSG00000219073.7	Pancreas	3984
ENSG00000219073.7	Pancreas	9091
ENSG00000219073.7	Pancreas	1.396e+04
ENSG00000219073.7	Pancreas	1.336e+04
ENSG00000219073.7	Pancreas	1.389e+04
ENSG00000219073.7	Pancreas	1.224e+04
ENSG00000219073.7	Pancreas	7261
ENSG00000219073.7	Pancreas	1.163e+04
ENSG00000219073.7	Pancreas	1.445e+04
ENSG00000219073.7	Pancreas	1.478e+04
ENSG00000219073.7	Pancreas	5372
ENSG00000219073.7	Pancreas	9067
ENSG00000219073.7	Pancreas	1.544e+04
ENSG00000219073.7	Pancreas	1.043e+04
ENSG00000219073.7	Pancreas	1.985e+04
ENSG00000219073.7	Pancreas	1.472e+04
ENSG00000219073.7	Pancreas	1.093e+04
ENSG00000219073.7	Pancreas	8449
ENSG00000219073.7	Pancreas	6809
ENSG00000219073.7	Pancreas	1.198e+04
ENSG00000219073.7	Pancreas	5758
ENSG00000219073.7	Pancreas	7416
